seed,country,branch,n,n_positive,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp
274,Angola,nested_champion,50,6,0.3889688162360597,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8972222222222221,0.9848484848484849,42,2,1,5
274,Indonesia,compact_tabular,48,17,0.5055467939883183,1.0,0.5294117647058824,0.6923076923076923,0.9559171186204978,0.9392789373814042,31,0,8,9
274,Indonesia,all77_tabular,48,17,0.2665409725865407,0.8,0.9411764705882353,0.8648648648648649,0.9365196078431373,0.9259962049335864,27,4,1,16
274,Indonesia,handcrafted_image,48,17,0.13056143727546962,0.37209302325581395,0.9411764705882353,0.5333333333333333,0.7860322895584613,0.8216318785578748,4,27,1,16
274,Indonesia,cnn_only,48,17,0.541638364831444,0.5555555555555556,0.8823529411764706,0.6818181818181818,0.855885848100381,0.8747628083491461,19,12,2,15
274,Indonesia,cv_multispectral,48,17,0.5366530596357236,0.6956521739130435,0.9411764705882353,0.8,0.8883633705273661,0.9203036053130931,24,7,1,16
274,Indonesia,guarded_cv_tabular,48,17,0.6280960797598161,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9563536953242836,0.9658444022770398,28,3,2,15
274,Indonesia,nested_champion,48,17,0.6280960797598161,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9563536953242836,0.9658444022770398,28,3,2,15
274,Iraq,compact_tabular,48,18,0.45513688458725954,1.0,0.7777777777777778,0.875,0.8777192517502594,0.8481481481481482,30,0,4,14
274,Iraq,all77_tabular,48,18,0.2813850086860082,0.875,0.7777777777777778,0.8235294117647058,0.8643253893253894,0.8407407407407408,28,2,4,14
274,Iraq,handcrafted_image,48,18,0.32726370766286583,1.0,0.3888888888888889,0.56,0.7119989569862235,0.7185185185185186,30,0,11,7
274,Iraq,cnn_only,48,18,0.3948140740190861,0.6,0.6666666666666666,0.631578947368421,0.743210631982373,0.7851851851851852,22,8,6,12
274,Iraq,cv_multispectral,48,18,0.7149217241364433,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.786308739964971,0.8388888888888889,28,2,8,10
274,Iraq,guarded_cv_tabular,48,18,0.5736104009816166,1.0,0.7777777777777778,0.875,0.9040779888653263,0.8851851851851852,30,0,4,14
274,Iraq,nested_champion,48,18,0.5736104009816166,1.0,0.7777777777777778,0.875,0.9040779888653263,0.8851851851851852,30,0,4,14
274,Libya,compact_tabular,51,15,0.4999998303525846,0.7647058823529411,0.8666666666666667,0.8125,0.9126143286143286,0.9314814814814815,32,4,2,13
274,Libya,all77_tabular,51,15,0.2905247201002014,0.5185185185185185,0.9333333333333333,0.6666666666666666,0.9189300242241418,0.9425925925925926,23,13,1,14
274,Libya,handcrafted_image,51,15,0.5071818935370398,0.5,0.6,0.5454545454545454,0.6689974515413112,0.8222222222222222,27,9,6,9
274,Libya,cnn_only,51,15,0.6050937258036194,0.3783783783783784,0.9333333333333333,0.5384615384615384,0.5867085643401433,0.8055555555555556,13,23,1,14
274,Libya,cv_multispectral,51,15,0.7282935041099736,0.5909090909090909,0.8666666666666667,0.7027027027027027,0.7021143479764169,0.8796296296296295,27,9,2,13
274,Libya,guarded_cv_tabular,51,15,0.6293653708281065,0.6521739130434783,1.0,0.7894736842105263,0.9300654553514964,0.962962962962963,28,8,0,15
274,Libya,nested_champion,51,15,0.6293653708281065,0.6521739130434783,1.0,0.7894736842105263,0.9300654553514964,0.962962962962963,28,8,0,15
274,Nigeria,compact_tabular,49,16,0.34971412701140453,1.0,0.5625,0.72,0.9055889423076923,0.9185606060606061,33,0,7,9
274,Nigeria,all77_tabular,49,16,0.4284173600960551,1.0,0.5625,0.72,0.9163435522810522,0.9356060606060607,33,0,7,9
274,Nigeria,handcrafted_image,49,16,0.11796924845543684,0.7857142857142857,0.6875,0.7333333333333333,0.9079226586966525,0.9545454545454546,30,3,5,11
274,Nigeria,cnn_only,49,16,0.7870734431105614,1.0,0.1875,0.3157894736842105,0.872254471545896,0.9090909090909092,33,0,13,3
274,Nigeria,cv_multispectral,49,16,0.4158225528261822,0.9090909090909091,0.625,0.7407407407407407,0.8464734627902197,0.9412878787878788,32,1,6,10
274,Nigeria,guarded_cv_tabular,49,16,0.5380172814591774,0.9090909090909091,0.625,0.7407407407407407,0.9513325083377833,0.9734848484848485,32,1,6,10
274,Nigeria,nested_champion,49,16,0.5380172814591774,0.9090909090909091,0.625,0.7407407407407407,0.9513325083377833,0.9734848484848485,32,1,6,10
