country,branch,review_fraction,rank,source_id,is_eog_flare,score
Iraq,compact_tabular,0.2,1,Iraq_311,1,0.9178790714296531
Iraq,compact_tabular,0.2,2,Iraq_13763,1,0.8695024112505907
Iraq,compact_tabular,0.2,3,Iraq_397,1,0.8092549612616425
Iraq,compact_tabular,0.2,4,Iraq_356,1,0.80738656518742
Iraq,compact_tabular,0.2,5,Iraq_19128,1,0.8018073145412785
Iraq,compact_tabular,0.2,6,Iraq_70,1,0.7937154604659552
Iraq,compact_tabular,0.2,7,Iraq_74,1,0.7934723279632317
Iraq,compact_tabular,0.2,8,Iraq_210,1,0.7637701179594498
Iraq,compact_tabular,0.2,9,Iraq_357,1,0.7511213759513273
Iraq,compact_tabular,0.2,10,Iraq_325,1,0.7449537331772719
Iraq,compact_tabular,0.3,1,Iraq_311,1,0.9178790714296531
Iraq,compact_tabular,0.3,2,Iraq_13763,1,0.8695024112505907
Iraq,compact_tabular,0.3,3,Iraq_397,1,0.8092549612616425
Iraq,compact_tabular,0.3,4,Iraq_356,1,0.80738656518742
Iraq,compact_tabular,0.3,5,Iraq_19128,1,0.8018073145412785
Iraq,compact_tabular,0.3,6,Iraq_70,1,0.7937154604659552
Iraq,compact_tabular,0.3,7,Iraq_74,1,0.7934723279632317
Iraq,compact_tabular,0.3,8,Iraq_210,1,0.7637701179594498
Iraq,compact_tabular,0.3,9,Iraq_357,1,0.7511213759513273
Iraq,compact_tabular,0.3,10,Iraq_325,1,0.7449537331772719
Iraq,compact_tabular,0.3,11,Iraq_27397,1,0.7250285868608479
Iraq,compact_tabular,0.3,12,Iraq_3879,1,0.68160576746339
Iraq,compact_tabular,0.3,13,Iraq_141,1,0.649973424119824
Iraq,compact_tabular,0.3,14,Iraq_1006,1,0.595032664258356
Iraq,compact_tabular,0.3,15,Iraq_1179,0,0.42272083415119405
Iraq,guarded_cv_tabular,0.1,1,Iraq_311,1,0.9042647695258846
Iraq,guarded_cv_tabular,0.1,2,Iraq_357,1,0.8689869132871063
Iraq,guarded_cv_tabular,0.1,3,Iraq_210,1,0.8418347952028467
Iraq,guarded_cv_tabular,0.1,4,Iraq_325,1,0.8378670082187746
Iraq,guarded_cv_tabular,0.1,5,Iraq_356,1,0.8075119495467521
Iraq,guarded_cv_tabular,0.2,1,Iraq_311,1,0.9042647695258846
Iraq,guarded_cv_tabular,0.2,2,Iraq_357,1,0.8689869132871063
Iraq,guarded_cv_tabular,0.2,3,Iraq_210,1,0.8418347952028467
Iraq,guarded_cv_tabular,0.2,4,Iraq_325,1,0.8378670082187746
Iraq,guarded_cv_tabular,0.2,5,Iraq_356,1,0.8075119495467521
Iraq,guarded_cv_tabular,0.2,6,Iraq_70,1,0.7965053454639661
Iraq,guarded_cv_tabular,0.2,7,Iraq_19128,1,0.7843481092528721
Iraq,guarded_cv_tabular,0.2,8,Iraq_13763,1,0.7692919007872936
Iraq,guarded_cv_tabular,0.2,9,Iraq_74,1,0.7532931649951821
Iraq,guarded_cv_tabular,0.2,10,Iraq_3879,1,0.7529893941638223
Iraq,guarded_cv_tabular,0.3,1,Iraq_311,1,0.9042647695258846
Iraq,guarded_cv_tabular,0.3,2,Iraq_357,1,0.8689869132871063
Iraq,guarded_cv_tabular,0.3,3,Iraq_210,1,0.8418347952028467
Iraq,guarded_cv_tabular,0.3,4,Iraq_325,1,0.8378670082187746
Iraq,guarded_cv_tabular,0.3,5,Iraq_356,1,0.8075119495467521
Iraq,guarded_cv_tabular,0.3,6,Iraq_70,1,0.7965053454639661
Iraq,guarded_cv_tabular,0.3,7,Iraq_19128,1,0.7843481092528721
Iraq,guarded_cv_tabular,0.3,8,Iraq_13763,1,0.7692919007872936
Iraq,guarded_cv_tabular,0.3,9,Iraq_74,1,0.7532931649951821
Iraq,guarded_cv_tabular,0.3,10,Iraq_3879,1,0.7529893941638223
Iraq,guarded_cv_tabular,0.3,11,Iraq_397,1,0.7420443657794573
Iraq,guarded_cv_tabular,0.3,12,Iraq_27397,1,0.7380402621652719
Iraq,guarded_cv_tabular,0.3,13,Iraq_1006,1,0.7264094818847665
Iraq,guarded_cv_tabular,0.3,14,Iraq_141,1,0.677903014493241
Iraq,guarded_cv_tabular,0.3,15,Iraq_32338,0,0.5637422521548044
Iraq,all77_tabular,0.1,1,Iraq_311,1,0.9174645827605644
Iraq,all77_tabular,0.1,2,Iraq_210,1,0.8139737489737836
Iraq,all77_tabular,0.1,3,Iraq_13763,1,0.8060826083634502
Iraq,all77_tabular,0.1,4,Iraq_325,1,0.788986585580803
Iraq,all77_tabular,0.1,5,Iraq_397,1,0.7820346337381308
Iraq,all77_tabular,0.2,1,Iraq_311,1,0.9174645827605644
Iraq,all77_tabular,0.2,2,Iraq_210,1,0.8139737489737836
Iraq,all77_tabular,0.2,3,Iraq_13763,1,0.8060826083634502
Iraq,all77_tabular,0.2,4,Iraq_325,1,0.788986585580803
Iraq,all77_tabular,0.2,5,Iraq_397,1,0.7820346337381308
Iraq,all77_tabular,0.2,6,Iraq_3879,1,0.7645489214691296
Iraq,all77_tabular,0.2,7,Iraq_27397,1,0.7600400570627679
Iraq,all77_tabular,0.2,8,Iraq_70,1,0.7566552347366787
Iraq,all77_tabular,0.2,9,Iraq_19128,1,0.702091251696602
Iraq,all77_tabular,0.2,10,Iraq_74,1,0.6229521399719835
Iraq,all77_tabular,0.3,1,Iraq_311,1,0.9174645827605644
Iraq,all77_tabular,0.3,2,Iraq_210,1,0.8139737489737836
Iraq,all77_tabular,0.3,3,Iraq_13763,1,0.8060826083634502
Iraq,all77_tabular,0.3,4,Iraq_325,1,0.788986585580803
Iraq,all77_tabular,0.3,5,Iraq_397,1,0.7820346337381308
Iraq,all77_tabular,0.3,6,Iraq_3879,1,0.7645489214691296
Iraq,all77_tabular,0.3,7,Iraq_27397,1,0.7600400570627679
Iraq,all77_tabular,0.3,8,Iraq_70,1,0.7566552347366787
Iraq,all77_tabular,0.3,9,Iraq_19128,1,0.702091251696602
Iraq,all77_tabular,0.3,10,Iraq_74,1,0.6229521399719835
Iraq,all77_tabular,0.3,11,Iraq_356,1,0.5259523070135377
Iraq,all77_tabular,0.3,12,Iraq_35473,0,0.4528953572122137
Iraq,all77_tabular,0.3,13,Iraq_357,1,0.4358560126316588
Iraq,all77_tabular,0.3,14,Iraq_1006,1,0.43343719494595306
Iraq,all77_tabular,0.3,15,Iraq_141,1,0.41481498718907356
Libya,compact_tabular,0.1,1,Libya_741,1,0.952525526307677
Libya,compact_tabular,0.1,2,Libya_1524,1,0.9456010825061597
