seed,held_out_country,branch,inner_macro_ap,inner_macro_f1,threshold,fusion_alpha,inner_selected_branch,branch_selection_diagnostics,alpha_diagnostics
272,Iraq,guarded_cv_tabular,0.9180373854699052,0.7572346259302781,0.6136323010046248,0.5,,,"[{""alpha"": 0.0, ""macro_ap"": 0.8736710967195128, ""gain"": 0.0, ""improved_countries"": 0, ""worst_delta"": 0.0, ""eligible"": true}, {""alpha"": 0.15, ""macro_ap"": 0.8909613422900972, ""gain"": 0.01729024557058434, ""improved_countries"": 5, ""worst_delta"": 0.0028521293807670656, ""eligible"": true}, {""alpha"": 0.3, ""macro_ap"": 0.9043009706691194, ""gain"": 0.03062987394960659, ""improved_countries"": 5, ""worst_delta"": 0.0039527457761247, ""eligible"": true}, {""alpha"": 0.5, ""macro_ap"": 0.9180373854699052, ""gain"": 0.04436628875039239, ""improved_countries"": 5, ""worst_delta"": 0.001060862315090505, ""eligible"": true}, {""alpha"": 0.7, ""macro_ap"": 0.9178716156130893, ""gain"": 0.04420051889357646, ""improved_countries"": 4, ""worst_delta"": -0.010601514366370801, ""eligible"": true}]"
272,Iraq,nested_champion,0.8736710967195128,0.7822209188660803,0.4132129100385852,,compact_tabular,"[{""branch"": ""compact_tabular"", ""macro_ap"": 0.8736710967195128, ""macro_ap_gain"": 0.0, ""macro_f1"": 0.7822209188660803, ""macro_f1_delta"": 0.0, ""improved_countries"": 0, ""worst_country_delta"": 0.0, ""eligible"": true}, {""branch"": ""all77_tabular"", ""macro_ap"": 0.8821614572056266, ""macro_ap_gain"": 0.008490360486113735, ""macro_f1"": 0.7644707170224412, ""macro_f1_delta"": -0.01775020184363907, ""improved_countries"": 3, ""worst_country_delta"": -0.019179569500294646, ""eligible"": false}, {""branch"": ""guarded_cv_tabular"", ""macro_ap"": 0.9180373854699052, ""macro_ap_gain"": 0.04436628875039239, ""macro_f1"": 0.7572346259302781, ""macro_f1_delta"": -0.024986292935802124, ""improved_countries"": 5, ""worst_country_delta"": 0.001060862315090505, ""eligible"": false}]",
272,Libya,compact_tabular,0.873839319064535,0.7531711804956586,0.4387212543467839,,,,
272,Libya,all77_tabular,0.8679343536621982,0.747227191413238,0.2607309400191953,,,,
272,Libya,handcrafted_image,0.8379107444898682,0.6669654906497011,0.4848342195025487,,,,
272,Libya,cnn_only,0.7662488907551491,0.6357957957957958,0.7472387527164887,,,,
272,Libya,cv_multispectral,0.8208516563613601,0.6659514398644834,0.4281628149700965,,,,
272,Libya,guarded_cv_tabular,0.9173695001332708,0.756440687712035,0.6356276277355034,0.7,,,"[{""alpha"": 0.0, ""macro_ap"": 0.873839319064535, ""gain"": 0.0, ""improved_countries"": 0, ""worst_delta"": 0.0, ""eligible"": true}, {""alpha"": 0.15, ""macro_ap"": 0.8940471777783404, ""gain"": 0.02020785871380537, ""improved_countries"": 5, ""worst_delta"": 0.005171336369341306, ""eligible"": true}, {""alpha"": 0.3, ""macro_ap"": 0.9049771372575126, ""gain"": 0.031137818192977562, ""improved_countries"": 5, ""worst_delta"": 0.002720355977184452, ""eligible"": true}, {""alpha"": 0.5, ""macro_ap"": 0.9134793829862105, ""gain"": 0.039640063921675406, ""improved_countries"": 4, ""worst_delta"": -0.0009331048129546105, ""eligible"": true}, {""alpha"": 0.7, ""macro_ap"": 0.9173695001332707, ""gain"": 0.04353018106873563, ""improved_countries"": 5, ""worst_delta"": 0.0009643006138626564, ""eligible"": true}]"
272,Libya,nested_champion,0.9173695001332708,0.756440687712035,0.6356276277355034,,guarded_cv_tabular,"[{""branch"": ""compact_tabular"", ""macro_ap"": 0.873839319064535, ""macro_ap_gain"": 0.0, ""macro_f1"": 0.7531711804956586, ""macro_f1_delta"": 0.0, ""improved_countries"": 0, ""worst_country_delta"": 0.0, ""eligible"": true}, {""branch"": ""all77_tabular"", ""macro_ap"": 0.8679343536621982, ""macro_ap_gain"": -0.00590496540233687, ""macro_f1"": 0.747227191413238, ""macro_f1_delta"": -0.005943989082420553, ""improved_countries"": 3, ""worst_country_delta"": -0.08115276737968102, ""eligible"": false}, {""branch"": ""guarded_cv_tabular"", ""macro_ap"": 0.9173695001332707, ""macro_ap_gain"": 0.04353018106873563, ""macro_f1"": 0.756440687712035, ""macro_f1_delta"": 0.0032695072163764216, ""improved_countries"": 5, ""worst_country_delta"": 0.0009643006138626564, ""eligible"": true}]",
272,Nigeria,compact_tabular,0.8654926460621206,0.7303228563551143,0.3356966683985786,,,,
272,Nigeria,all77_tabular,0.8602956276501639,0.7266904761904762,0.4558249483378754,,,,
272,Nigeria,handcrafted_image,0.7791487472145116,0.6454152829368691,0.1303435754153173,,,,
272,Nigeria,cnn_only,0.7252599359725275,0.6932353985608821,0.7192722681050803,,,,
272,Nigeria,cv_multispectral,0.8237546239193814,0.7231401366994586,0.2443727335201961,,,,
272,Nigeria,guarded_cv_tabular,0.9331656566635392,0.7866343454278173,0.5090754443883792,0.5,,,"[{""alpha"": 0.0, ""macro_ap"": 0.8654926460621206, ""gain"": 0.0, ""improved_countries"": 0, ""worst_delta"": 0.0, ""eligible"": true}, {""alpha"": 0.15, ""macro_ap"": 0.9017830533337108, ""gain"": 0.036290407271590164, ""improved_countries"": 5, ""worst_delta"": 0.002797902986563461, ""eligible"": true}, {""alpha"": 0.3, ""macro_ap"": 0.9169867474102986, ""gain"": 0.051494101348178, ""improved_countries"": 5, ""worst_delta"": 0.006342352043792299, ""eligible"": true}, {""alpha"": 0.5, ""macro_ap"": 0.9331656566635393, ""gain"": 0.06767301060141873, ""improved_countries"": 5, ""worst_delta"": 0.005061667727054853, ""eligible"": true}, {""alpha"": 0.7, ""macro_ap"": 0.9302289717496913, ""gain"": 0.0647363256875707, ""improved_countries"": 5, ""worst_delta"": 0.002544679128472338, ""eligible"": true}]"
