source_id,country,status,full_clear_fraction,full_worldcover_fraction,full_negative_fraction,full_below_minus005_fraction,full_ndvi_valid_fraction,full_ndbi_valid_fraction,full_mndwi_valid_fraction,center_clear_fraction,center_worldcover_fraction,center_negative_fraction,center_below_minus005_fraction,center_ndvi_valid_fraction,center_ndbi_valid_fraction,center_mndwi_valid_fraction,review_reflectance_tail
Iraq_20360,Iraq,pending,,,,,,,,,,,,,,,
Libya_1306,Libya,pending,,,,,,,,,,,,,,,
Nigeria_234275,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_10367,Algeria,pending,,,,,,,,,,,,,,,
Angola_203314,Angola,pending,,,,,,,,,,,,,,,
Indonesia_41182,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_26536,Iraq,pending,,,,,,,,,,,,,,,
Libya_1524,Libya,ok,0.999975,1.0,0.00010416927089843912,0.0,1.0,1.0,1.0,0.9996,1.0,0.0016673336001067093,0.0,1.0,1.0,1.0,False
Nigeria_163147,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_11754,Algeria,pending,,,,,,,,,,,,,,,
Angola_704440,Angola,pending,,,,,,,,,,,,,,,
Indonesia_107991,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_13566,Iraq,pending,,,,,,,,,,,,,,,
Libya_3074,Libya,pending,,,,,,,,,,,,,,,
Nigeria_159358,Nigeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_2905,Algeria,pending,,,,,,,,,,,,,,,
Angola_335428,Angola,pending,,,,,,,,,,,,,,,
Indonesia_45409,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_27569,Iraq,pending,,,,,,,,,,,,,,,
Libya_2204,Libya,pending,,,,,,,,,,,,,,,
Nigeria_188945,Nigeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_9416,Algeria,pending,,,,,,,,,,,,,,,
Angola_843565,Angola,pending,,,,,,,,,,,,,,,
Indonesia_68385,Indonesia,pending,,,,,,,,,,,,,,,
