source_id,country,chip_id,status,chip_file,crs,clear_fraction,center_clear_fraction,worldcover_valid_fraction,scene_id,scene_datetime,requested_lon,requested_lat,reused_from,reflectance_p01,reflectance_p99,error
Libya_1046,Libya,ed57938a13e4d1bb5e50,ok,ed57938a13e4d1bb5e50.npz,EPSG:32634,1.0,1.0,1.0,S2B_T34RCS_20240805T092259_L2A,2024-08-05T09:32:42.786000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.19585347175598145,0.7456012964248657,
Nigeria_309678,Nigeria,3b2622cb6ff505adffec,pending,,,,,,,,,,,,,
Algeria_10163,Algeria,c9217b57210e47b00f60,pending,,,,,,,,,,,,,
Angola_69581,Angola,7881d964e6236a96f802,pending,,,,,,,,,,,,,
Indonesia_104759,Indonesia,26ceffeca845b7544a09,pending,,,,,,,,,,,,,
Iraq_5452,Iraq,5f69cda5fe3484700e73,pending,,,,,,,,,,,,,
Libya_738,Libya,e193bfd2b48c9659d598,pending,,,,,,,,,,,,,
Nigeria_261221,Nigeria,07bcdde512d68a3f03bc,pending,,,,,,,,,,,,,
Algeria_5389,Algeria,9d3638bb0db9b7968453,pending,,,,,,,,,,,,,
Angola_907476,Angola,0ee7e57ddfa9b467df19,pending,,,,,,,,,,,,,
Indonesia_86099,Indonesia,cebd02be602eab019400,pending,,,,,,,,,,,,,
Iraq_241,Iraq,51b4d54ad031e43b9e8b,pending,,,,,,,,,,,,,
Libya_2303,Libya,3ec37e52328485345b25,pending,,,,,,,,,,,,,
Nigeria_14482,Nigeria,60ca9b1094f501cdf5cc,ok,60ca9b1094f501cdf5cc.npz,EPSG:32632,0.970275,1.0,1.0,S2A_T31NHG_20221228T100646_L2A,2022-12-28T10:09:14.721000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.03778446093201637,0.3088882267475128,
Algeria_12990,Algeria,4ca079f0b11758a338e9,pending,,,,,,,,,,,,,
Angola_404749,Angola,01e42d0a2a8739a514b4,ok,01e42d0a2a8739a514b4.npz,EPSG:32733,0.995825,1.0,1.0,S2A_T33LXH_20240801T090501_L2A,2024-08-01T09:13:46.879000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,-0.008038073778152466,0.23202601075172424,
Indonesia_60731,Indonesia,c9f0fff8de3c51f3130b,ok,c9f0fff8de3c51f3130b.npz,EPSG:32750,1.0,1.0,1.0,S2B_T50MMD_20240221T023540_L2A,2024-02-21T02:38:14.112000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.009474932216107845,0.032948676496744156,
Iraq_4,Iraq,5b7a6bf68c69d3091e44,pending,,,,,,,,,,,,,
Libya_1980,Libya,08615294fa63b1748c5c,pending,,,,,,,,,,,,,
Nigeria_237748,Nigeria,54bebcd6fe5fc2ae0310,pending,,,,,,,,,,,,,
Algeria_11477,Algeria,ba44ecce8cbca1a531b3,pending,,,,,,,,,,,,,
Angola_325469,Angola,67ce73713ddc6d01ffce,pending,,,,,,,,,,,,,
Indonesia_159902,Indonesia,3fd64bea714106b72c4a,pending,,,,,,,,,,,,,
Iraq_8043,Iraq,ce0ffc2710f3bca26d0a,pending,,,,,,,,,,,,,
Libya_2789,Libya,e7335b246798f03d96d8,pending,,,,,,,,,,,,,
Nigeria_127364,Nigeria,318cfd2050b801787e61,pending,,,,,,,,,,,,,
Algeria_2594,Algeria,5f2a90a4438c87b224d1,pending,,,,,,,,,,,,,
Angola_770424,Angola,77e2c98b069cb397e6f4,ok,77e2c98b069cb397e6f4.npz,EPSG:32733,1.0,1.0,1.0,S2B_T33MTP_20240802T092157_L2A,2024-08-02T09:32:21.101000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.0662052184343338,0.38512513041496277,
Indonesia_110371,Indonesia,947c50ae79cb5a08abda,pending,,,,,,,,,,,,,
Iraq_331,Iraq,be506edc22aed889a68b,pending,,,,,,,,,,,,,
Libya_231,Libya,2c0ed761b5a4e2f9c69e,pending,,,,,,,,,,,,,
Nigeria_320772,Nigeria,5a5460fbec775374ca86,pending,,,,,,,,,,,,,
Algeria_3871,Algeria,22c3d8c7863574ee6453,pending,,,,,,,,,,,,,
Angola_591631,Angola,12b4a9bc4d5675daa7e6,pending,,,,,,,,,,,,,
Indonesia_96268,Indonesia,c9490b508b4d935b6ce2,pending,,,,,,,,,,,,,
Iraq_35588,Iraq,1a5b8abbf10e6d1829f5,ok,1a5b8abbf10e6d1829f5.npz,EPSG:32638,1.0,1.0,1.0,S2B_T38SKG_20240811T080043_L2A,2024-08-11T08:09:38.399000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.08987399190664291,0.43780699372291565,
Libya_3275,Libya,69ef747e22626901e95f,pending,,,,,,,,,,,,,
Nigeria_235173,Nigeria,a816ffca36d773089f03,pending,,,,,,,,,,,,,
Algeria_13025,Algeria,84d0510ae1b6cfa8b719,ok,84d0510ae1b6cfa8b719.npz,EPSG:32630,1.0,1.0,1.0,S2A_T30SXD_20230704T105844_L2A,2023-07-04T11:01:35.873000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.06670505553483963,0.5087044835090637,
Angola_543834,Angola,76ee85f8a423eea83472,pending,,,,,,,,,,,,,
Indonesia_44152,Indonesia,7b7c88f00fb2f0fde80a,pending,,,,,,,,,,,,,
Iraq_7412,Iraq,c0f8769b8c1c6f30a2ef,ok,c0f8769b8c1c6f30a2ef.npz,EPSG:32638,0.9995,1.0,1.0,S2B_T38SMF_20230506T075215_L2A,2023-05-06T07:59:47.296000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.012564005330204964,0.47679078578948975,
Libya_2232,Libya,53b02131ad87a4c0b62d,ok,53b02131ad87a4c0b62d.npz,EPSG:32634,1.0,1.0,1.0,S2B_T34SDB_20241004T092322_L2A,2024-10-04T09:31:25.592000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.05522395670413971,0.4963831603527069,
Nigeria_42895,Nigeria,f357fdc80f80a7f1f4b9,pending,,,,,,,,,,,,,
Algeria_3826,Algeria,c8b91b6befc23b55b33c,pending,,,,,,,,,,,,,
Angola_229659,Angola,5a6e740c561b2371908b,pending,,,,,,,,,,,,,
Indonesia_154966,Indonesia,662f2a45ea8418d128f1,pending,,,,,,,,,,,,,
Iraq_6436,Iraq,3d4c7c8f3cc879691645,ok,3d4c7c8f3cc879691645.npz,EPSG:32638,1.0,1.0,1.0,S2B_T38SLE_20231013T075213_L2A,2023-10-13T08:00:05.012000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.06781520694494247,0.4758077561855316,
Libya_723,Libya,82c2ebb1d504d2fe01f1,pending,,,,,,,,,,,,,
Nigeria_344834,Nigeria,a77b91286a7640022dad,pending,,,,,,,,,,,,,
Algeria_10029,Algeria,a0c02a4ae532973fc287,pending,,,,,,,,,,,,,
Angola_581554,Angola,8f95ca9c19c658f4ef44,pending,,,,,,,,,,,,,
Indonesia_45522,Indonesia,87e194dde4ea31688d49,ok,87e194dde4ea31688d49.npz,EPSG:32650,0.9998,1.0,1.0,S2B_T50NNG_20231027T024033_L2A,2023-10-27T02:47:21.648000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.02407960779964924,0.3803844451904297,
Iraq_35853,Iraq,2f882928b5e73cea32f6,pending,,,,,,,,,,,,,
Libya_2964,Libya,9177320e1acfd3c1738f,ok,9177320e1acfd3c1738f.npz,EPSG:32634,1.0,1.0,1.0,S2B_T34RES_20230609T091054_L2A,2023-06-09T09:22:42.749000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.21023185551166534,0.6773983240127563,
Nigeria_315146,Nigeria,5acb4fec00d9f96322b9,pending,,,,,,,,,,,,,
Algeria_5639,Algeria,8277881bb66468b6be40,pending,,,,,,,,,,,,,
Angola_592778,Angola,ea44c591e59471d2d05c,pending,,,,,,,,,,,,,
