source_id,country,chip_id,status,chip_file,crs,clear_fraction,center_clear_fraction,worldcover_valid_fraction,reflectance_p01,reflectance_p99,scene_id,scene_datetime,error
Angola_251,Angola,bdb86214c896ec143419,ok,bdb86214c896ec143419.npz,EPSG:32733,1.0,1.0,1.0,0.013814372010529041,0.3710440695285797,S2B_T33MTP_20240802T092157_L2A,2024-08-02T09:32:21.101000Z,
Angola_814403,Angola,c62ba6626ad604315fdb,ok,c62ba6626ad604315fdb.npz,EPSG:32734,0.9974,1.0,1.0,0.029101334512233734,0.2754831612110138,S2A_T33LZH_20230916T090156_L2A,2023-09-16T09:13:40.903000Z,
Angola_887950,Angola,e3cb5ec7d70614f0fd87,ok,e3cb5ec7d70614f0fd87.npz,EPSG:32733,0.999425,1.0,1.0,-0.04853811487555504,0.3712635338306427,S2B_T32MRU_20240815T093853_L2A,2024-08-15T09:42:20.832000Z,
Angola_488655,Angola,e6c7b363ed7b81207934,ok,e6c7b363ed7b81207934.npz,EPSG:32733,0.904375,0.8624,1.0,0.034406878054142,0.2656991481781006,S2B_T33MUM_20240723T092452_L2A,2024-07-23T09:32:49.608000Z,
Angola_500129,Angola,f11704842804f0067d06,ok,f11704842804f0067d06.npz,EPSG:32734,1.0,1.0,1.0,0.02329353615641594,0.22845953702926636,S2B_T34MDT_20230511T090219_L2A,2023-05-11T09:02:27.604000Z,
Angola_463802,Angola,fb8a012d0628163f8368,ok,fb8a012d0628163f8368.npz,EPSG:32733,0.999,1.0,1.0,0.0638018399477005,0.435060054063797,S2B_T33MTP_20240802T092157_L2A,2024-08-02T09:32:21.101000Z,
Indonesia_165728,Indonesia,2aa00733149c90372955,ok,2aa00733149c90372955.npz,EPSG:32749,0.9989,0.9992,1.0,0.009567877277731895,0.3407610058784485,S2A_T49MFN_20230727T025835_L2A,2023-07-27T02:59:50.888000Z,
Indonesia_155965,Indonesia,31c23a8ad7105e811261,ok,31c23a8ad7105e811261.npz,EPSG:32651,1.0,1.0,1.0,0.02030670829117298,0.4869132936000824,S2B_T51NVA_20240415T021344_L2A,2024-04-15T02:17:33.410000Z,
Indonesia_132026,Indonesia,392e976fde67bad88e93,ok,392e976fde67bad88e93.npz,EPSG:32749,0.9992,1.0,1.0,0.012358187697827816,0.29705724120140076,S2B_T49MES_20240626T025424_L2A,2024-06-26T02:58:54.707000Z,
Indonesia_110447,Indonesia,5e067b9bd074fedd625a,ok,5e067b9bd074fedd625a.npz,EPSG:32752,0.8234,0.8384,1.0,0.009397913701832294,0.47188669443130493,S2B_T52MCS_20240509T015700_L2A,2024-05-09T01:59:35.335000Z,
Indonesia_58467,Indonesia,71680abb1b550afc408c,ok,71680abb1b550afc408c.npz,EPSG:32748,0.82585,0.944,1.0,0.01982898637652397,0.36391711235046387,S2B_T48MUD_20240509T033006_L2A,2024-05-09T03:38:31.218000Z,
Indonesia_28997,Indonesia,733c647ceb7c0a448d44,ok,733c647ceb7c0a448d44.npz,EPSG:32750,1.0,1.0,1.0,0.08603031933307648,0.3373059928417206,S2B_T50MKC_20230927T023803_L2A,2023-09-27T02:48:32.799000Z,
Indonesia_81805,Indonesia,749465aa80db894c95d1,ok,749465aa80db894c95d1.npz,EPSG:32748,1.0,1.0,1.0,0.029227575287222862,0.3346607983112335,S2A_T48MUB_20230927T033258_L2A,2023-09-27T03:39:01.959000Z,
Indonesia_135227,Indonesia,8161a948381afe6accec,ok,8161a948381afe6accec.npz,EPSG:32748,1.0,1.0,1.0,0.028737206012010574,0.40047958493232727,S2B_T48MUA_20240814T032234_L2A,2024-08-14T03:29:23.272000Z,
Indonesia_45522,Indonesia,87e194dde4ea31688d49,ok,87e194dde4ea31688d49.npz,EPSG:32650,0.9998,1.0,1.0,0.02407960779964924,0.3803844451904297,S2B_T50NNG_20231027T024033_L2A,2023-10-27T02:47:21.648000Z,
